Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST
1,Saquon Barkley (PHI),345,2005,5.8,72,17,13,33,43,278,8.4,2,1,16,322.3,20.1,97.8
2,Derrick Henry (BAL),325,1921,5.9,87,19,16,19,22,193,10.2,2,1,17,317.4,18.7,97.5
3,Jahmyr Gibbs (DET),250,1412,5.6,70,13,16,52,63,517,9.9,4,1,17,310.9,18.3,97.5
4,Bijan Robinson (ATL),304,1456,4.8,37,5,14,61,72,431,7.1,1,0,17,280.7,16.5,94.6
5,Josh Jacobs (GB),301,1329,4.4,38,7,15,36,43,342,9.5,1,3,17,257.1,15.1,96.3
6,Kyren Williams (LAR),316,1299,4.1,30,2,14,34,40,182,5.4,2,3,16,238.1,14.9,94.2
7,James Cook (BUF),207,1009,4.9,65,6,16,32,38,258,8.1,2,0,16,234.7,14.7,93.1
8,Jonathan Taylor (IND),303,1431,4.7,70,11,11,18,31,136,7.6,1,1,14,226.7,16.2,92.9
9,De'Von Achane (MIA),203,907,4.5,61,5,6,78,87,592,7.6,6,0,17,221.9,13.1,92.9
10,James Conner (ARI),236,1094,4.6,53,6,8,47,55,414,8.8,1,1,16,206.8,12.9,82.6
11,Joe Mixon (HOU),245,1016,4.1,59,8,11,36,52,309,8.6,1,0,14,204.5,14.6,96.8
12,Chase Brown (CIN),229,990,4.3,40,8,7,54,65,360,6.7,4,1,16,201.0,12.6,85.5
13,Chuba Hubbard (CAR),250,1195,4.8,38,8,10,43,54,171,4.0,1,3,15,198.6,13.2,80.1
14,Bucky Irving (TB),207,1122,5.4,56,8,8,47,52,392,8.3,0,1,17,197.4,11.6,91.4
15,Alvin Kamara (NO),228,950,4.2,24,3,6,68,89,543,8.0,2,0,14,197.3,14.1,93.5
16,Aaron Jones Sr. (MIN),255,1138,4.5,41,3,5,51,62,408,8.0,2,3,17,190.6,11.2,91.4
17,David Montgomery (DET),185,775,4.2,21,1,12,36,38,341,9.5,0,1,14,185.7,13.3,75.4
18,Breece Hall (NYJ),209,876,4.2,42,3,5,57,76,483,8.5,3,2,16,183.9,11.5,91.6
19,D'Andre Swift (CHI),253,959,3.8,56,5,6,42,52,386,9.2,0,0,17,172.5,10.1,83.1
20,Najee Harris (LAC),263,1043,4.0,36,9,6,36,48,283,7.9,0,0,17,168.6,9.9,89.8
21,J.K. Dobbins (FA),195,905,4.6,61,6,9,32,38,153,4.8,0,0,13,159.8,12.3,74.2
22,Tony Pollard (TEN),260,1079,4.2,41,6,5,41,57,238,5.8,0,2,16,159.7,10.0,80.4
23,Rico Dowdle (CAR),235,1079,4.6,27,2,2,39,49,249,6.4,3,2,16,158.8,9.9,73.9
24,Rachaad White (TB),144,613,4.3,56,2,3,51,57,393,7.7,6,3,16,148.6,9.3,85.8
25,Zach Charbonnet (SEA),135,569,4.2,51,3,8,42,52,340,8.1,1,0,17,144.9,8.5,76.5
26,Tyrone Tracy Jr. (NYG),192,839,4.4,45,6,5,38,53,284,7.5,1,2,17,144.3,8.5,82.2
27,Rhamondre Stevenson (NE),207,801,3.9,33,2,7,33,41,168,5.1,1,3,15,142.9,9.5,87.8
28,Brian Robinson Jr. (WAS),187,799,4.3,40,4,8,20,25,159,8.0,0,2,14,139.8,10.0,84.9
29,Kenneth Walker III (SEA),153,573,3.7,28,5,7,46,53,299,6.5,1,0,11,135.2,12.3,81.7
30,Kareem Hunt (KC),200,728,3.6,20,1,7,23,32,176,7.7,0,0,13,132.4,10.2,54.7
31,Tank Bigsby (JAC),168,766,4.6,65,4,7,7,12,54,7.7,0,1,16,122.0,7.6,49.4
32,Javonte Williams (DAL),139,513,3.7,20,1,4,52,70,346,6.7,0,2,17,105.9,6.2,76.1
33,Jordan Mason (MIN),153,789,5.2,38,9,3,11,14,91,8.3,0,1,12,104.0,8.7,27.7
34,Alexander Mattison (MIA),132,420,3.2,24,1,4,36,48,294,8.2,1,1,14,101.4,7.2,44.8
35,Ray Davis (BUF),113,442,3.9,23,2,3,17,19,189,11.1,3,0,17,99.1,5.8,37.2
36,Austin Ekeler (WAS),77,367,4.8,50,4,4,35,41,366,10.5,0,0,12,97.3,8.1,51.4
37,Jerome Ford (CLE),104,565,5.4,66,5,3,37,43,225,6.1,0,0,14,97.0,6.9,64.4
38,Tyler Allgeier (ATL),137,644,4.7,25,4,3,13,13,88,6.8,0,0,17,93.2,5.5,36.7
39,Travis Etienne Jr. (JAC),150,558,3.7,22,2,2,39,52,254,6.5,0,1,15,91.2,6.1,87.2
40,Jaylen Warren (PIT),120,511,4.3,22,1,1,38,47,310,8.2,0,1,15,86.1,5.7,68.2
41,Ameer Abdullah (FA),66,311,4.7,40,1,2,40,47,261,6.5,3,1,16,85.2,5.3,24.1
42,Justice Hill (BAL),47,228,4.9,51,2,1,42,51,383,9.1,3,0,15,85.1,5.7,24.4
43,Emanuel Wilson (GB),103,502,4.9,21,1,4,11,14,48,4.4,1,0,17,85.0,5.0,4.8
44,Tyjae Spears (TEN),84,312,3.7,23,1,4,30,35,224,7.5,1,0,12,83.6,7.0,60.2
